system,method,n,n_commit,p_commit,p_lo,p_hi,median_ttc,median_lo,median_hi,frac_median_defined,occupancy,occ_lo,occ_hi
CLN025,Random,3,0,0.0,0.0,0.0,,,,0.0,0.005394761686402503,0.0,0.008092142529603755
CLN025,LAST,3,3,1.0,1.0,1.0,46.366,46.178,80.494,1.0,1.6561918377255684,0.37763331804817524,2.4761956140587493
CLN025,Least-counts,3,3,1.0,1.0,1.0,68.622,34.124,80.266,1.0,0.41539664985299274,0.22118522914250263,0.825398538019583
CLN025,kNN-AS,3,1,0.3333333333333333,0.0,1.0,,56.648,56.648,0.251,0.14026380384646508,0.0026973808432012515,0.5205945027378416
CLN025,MOAS,3,3,1.0,1.0,1.0,36.062,34.086,40.12,1.0,5.249103120869636,4.046071264801878,6.7920049631807515
AdK,Random,3,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.14007883506531582
AdK,LAST,3,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.03366235571337047
AdK,Least-counts,3,2,0.6666666666666666,0.0,1.0,192.518,190.352,192.518,0.7371,0.4843035692955881,0.02714706105916973,1.531094243737173
AdK,kNN-AS,3,1,0.3333333333333333,0.0,1.0,,96.086,96.086,0.266,0.0,0.0,7.311246484455593
AdK,MOAS,3,3,1.0,1.0,1.0,105.67,103.444,192.272,1.0,14.846184752038743,0.7188541768468145,27.828995232976077
MBP,Random,3,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.009504684596141906
MBP,LAST,3,1,0.3333333333333333,0.0,1.0,,320.416,320.416,0.2513,0.0186049145286182,0.0,26.011288329662907
MBP,Least-counts,3,1,0.3333333333333333,0.0,1.0,,414.008,414.008,0.2519,0.03377196441607869,0.010920275918971553,0.5963684015749464
MBP,kNN-AS,3,2,0.6666666666666666,0.0,1.0,836.83,572.596,836.83,0.7418,0.1423680416102958,0.0022245006501608717,0.7603747676913525
MBP,MOAS,3,3,1.0,1.0,1.0,442.832,216.76,503.544,1.0,37.14531853838174,28.404851029236006,42.117684173486786
