system,method,rep,tag,sim_ns,hit_ns,commit_ns,occupancy,coverage,missing
CLN025,Random,0,moas_random,82.154,68.168,,5.394761686402503e-05,0.11284722222222222,False
CLN025,Random,1,moas_s1_random,82.154,,,0.0,0.11631944444444445,False
CLN025,Random,2,moas_s2_random,82.154,63.018,,8.092142529603754e-05,0.11458333333333333,False
CLN025,LAST,0,discover_last,82.154,38.594,46.366,0.02476195614058749,0.1232638888888889,False
CLN025,LAST,1,discover_s1_last,82.154,25.702,46.178,0.016561918377255683,0.11284722222222222,False
CLN025,LAST,2,discover_s2_last,82.154,73.206,80.494,0.003776333180481752,0.1076388888888889,False
CLN025,Least-counts,0,discover_lc,82.154,80.208,80.266,0.0022118522914250263,0.10590277777777778,False
CLN025,Least-counts,1,discover_s1_lc,82.154,25.338,34.124,0.00825398538019583,0.125,False
CLN025,Least-counts,2,discover_s2_lc,82.154,23.62,68.622,0.004153966498529928,0.11805555555555555,False
CLN025,kNN-AS,0,discover_knn,82.154,65.122,,2.6973808432012517e-05,0.12152777777777778,False
CLN025,kNN-AS,1,discover_s1_knn,82.154,28.078,,0.0014026380384646508,0.1284722222222222,False
CLN025,kNN-AS,2,discover_s2_knn,82.154,18.93,56.648,0.0052059450273784155,0.13541666666666666,False
CLN025,MOAS,0,moas_static,82.154,37.478,40.12,0.04046071264801877,0.11458333333333333,False
CLN025,MOAS,1,moas_s1_static,82.154,22.038,34.086,0.06792004963180752,0.1267361111111111,False
CLN025,MOAS,2,moas_s2_static,82.154,22.048,36.062,0.05249103120869636,0.1232638888888889,False
CLN025,TAPS,0,discover_taps,82.154,30.54,,0.0023736951420171015,0.125,False
CLN025,TAPS,1,discover_s1_taps,82.154,31.596,80.18,0.006743452108003129,0.12152777777777778,False
CLN025,TAPS,2,discover_s2_taps,82.154,51.576,,0.0008901356782564131,0.109375,False
AdK,Random,0,adk_random,200.19,83.34,,0.0014007883506531582,0.6684027777777778,False
AdK,Random,1,adk_s1_random,200.19,,,0.0,0.6458333333333334,False
AdK,Random,2,adk_s2_random,200.19,,,0.0,0.5711805555555556,False
AdK,LAST,0,adk_last,200.19,,,0.0,0.625,False
AdK,LAST,1,adk_s1_last,200.19,,,0.0,0.6458333333333334,False
AdK,LAST,2,adk_s2_last,200.19,80.106,,0.0003366235571337047,0.6614583333333334,False
AdK,Least-counts,0,adk_lc,200.19,192.244,192.518,0.004843035692955881,0.5885416666666666,False
AdK,Least-counts,1,adk_s1_lc,200.19,81.484,190.352,0.01531094243737173,0.6944444444444444,False
AdK,Least-counts,2,adk_s2_lc,200.19,94.152,,0.0002714706105916973,0.6215277777777778,False
AdK,kNN-AS,0,adk_knn,210.2,,,0.0,0.59375,False
AdK,kNN-AS,1,adk_s1_knn,200.19,44.292,96.086,0.07311246484455593,0.6354166666666666,False
AdK,kNN-AS,2,adk_s2_knn,200.19,,,0.0,0.6545138888888888,False
AdK,MOAS,0,adk_static,200.19,34.066,103.444,0.14846184752038744,0.6597222222222222,False
AdK,MOAS,1,adk_s1_static,200.19,128.172,192.272,0.007188541768468146,0.6753472222222222,False
AdK,MOAS,2,adk_s2_static,200.19,68.402,105.67,0.2782899523297608,0.6545138888888888,False
MBP,Random,0,mbp_random,1004.994,,,0.0,0.23958333333333334,False
MBP,Random,1,mbp_s1_random,1004.994,,,0.0,0.1909722222222222,False
MBP,Random,2,mbp_s2_random,1004.994,218.508,,9.504684596141906e-05,0.2621527777777778,False
MBP,LAST,0,mbp_last,1004.994,272.386,320.416,0.26011288329662907,0.3090277777777778,False
MBP,LAST,1,mbp_s1_last,1004.994,,,0.0,0.19791666666666666,False
MBP,LAST,2,mbp_s2_last,1004.994,454.674,,0.00018604914528618202,0.2690972222222222,False
MBP,Least-counts,0,mbp_lc,1004.994,317.498,,0.0003377196441607869,0.3315972222222222,False
MBP,Least-counts,1,mbp_s1_lc,1004.994,395.982,414.008,0.005963684015749465,0.359375,False
MBP,Least-counts,2,mbp_s2_lc,1004.994,626.49,,0.00010920275918971553,0.390625,False
MBP,kNN-AS,0,mbp_knn,1004.994,795.102,836.83,0.001423680416102958,0.3420138888888889,False
MBP,kNN-AS,1,mbp_s1_knn,1004.994,102.26,572.596,0.007603747676913525,0.3541666666666667,False
MBP,kNN-AS,2,mbp_s2_knn,1004.994,718.722,,2.2245006501608718e-05,0.2725694444444444,False
MBP,MOAS,0,mbp_static,1004.994,335.746,442.832,0.28404851029236006,0.3229166666666667,False
MBP,MOAS,1,mbp_s1_static,1004.994,455.038,503.544,0.3714531853838174,0.3489583333333333,False
MBP,MOAS,2,mbp_s2_static,1004.994,191.064,216.76,0.42117684173486786,0.359375,False
